,3d%,3d%_allowed,TOP,date,first_downs,first_downs_allowed,margin,opp,pass_yards,pass_yards_allowed,penalty_yards,plays,points,points_allowed,result,rush_yards,rush_yards_allowed,sacked,sacks,takeaways,team,total_points,total_yards,total_yards_allowed,turnovers
34,0.16666666666666666,0.36363636363636365,26.6,09/17/2017,20,24,-14,BaltimoreBal,293,201,65,66,10,24,Loss,93,136,3,2,2,ClevelandCle,34,386,337,5
35,0.36363636363636365,0.16666666666666666,33.4,09/17/2017,24,20,14,ClevelandCle,201,293,45,68,24,10,Win,136,93,2,3,5,BaltimoreBal,34,337,386,2
36,0.3076923076923077,0.4375,21.116666666666667,09/17/2017,10,19,-6,CarolinaCar,107,178,44,51,3,9,Loss,69,77,3,6,0,BuffaloBuf,12,176,255,0
37,0.4375,0.3076923076923077,38.88333333333333,09/17/2017,19,10,6,BuffaloBuf,178,107,40,66,9,3,Win,77,69,6,3,0,CarolinaCar,12,255,176,0
38,0.5,0.5333333333333333,26.816666666666666,09/17/2017,19,22,-22,Tampa BayTB,290,194,59,62,7,29,Loss,20,117,1,2,1,ChicagoChi,36,310,311,4
39,0.5333333333333333,0.5,33.18333333333333,09/17/2017,22,19,22,ChicagoChi,194,290,34,67,29,7,Win,117,20,2,1,4,Tampa BayTB,36,311,310,1
40,0.46153846153846156,0.46153846153846156,30.766666666666666,09/17/2017,21,20,21,JacksonvilleJax,211,211,70,64,37,16,Win,179,99,1,2,3,TennesseeTen,53,390,310,1
41,0.46153846153846156,0.46153846153846156,29.233333333333334,09/17/2017,20,21,-21,TennesseeTen,211,211,99,61,16,37,Loss,99,179,2,1,1,JacksonvilleJax,53,310,390,3
42,0.5333333333333333,0.4166666666666667,30.816666666666666,09/17/2017,27,16,-7,Kansas CityKC,299,232,30,69,20,27,Loss,107,112,6,4,0,PhiladelphiaPhi,47,406,344,2
43,0.4166666666666667,0.5333333333333333,29.183333333333334,09/17/2017,16,27,7,PhiladelphiaPhi,232,299,40,51,27,20,Win,112,107,4,6,2,Kansas CityKC,47,344,406,0
44,0.3333333333333333,0.23076923076923078,25.633333333333333,09/17/2017,14,22,-17,PittsburghPit,146,233,131,60,9,26,Loss,91,102,2,2,0,MinnesotaMin,35,237,335,1
45,0.23076923076923078,0.3333333333333333,34.36666666666667,09/17/2017,22,14,17,MinnesotaMin,233,146,72,69,26,9,Win,102,91,2,2,1,PittsburghPit,35,335,237,0
46,0.5,0.3333333333333333,35.1,09/17/2017,29,20,16,New OrleansNO,436,348,66,72,36,20,Win,119,81,2,1,0,New EnglandNE,56,555,429,0
47,0.3333333333333333,0.5,24.9,09/17/2017,20,29,-16,New EnglandNE,348,436,35,63,20,36,Loss,81,119,1,2,0,New OrleansNO,56,429,555,0
48,0.38461538461538464,0.25,33.36666666666667,09/17/2017,21,24,2,LA ChargersLAC,225,323,23,68,19,17,Win,111,44,2,1,0,MiamiMia,36,336,367,0
49,0.25,0.38461538461538464,26.633333333333333,09/17/2017,24,21,-2,MiamiMia,323,225,56,54,17,19,Loss,44,111,1,2,0,LA ChargersLAC,36,367,336,0
50,0.5833333333333334,0.6666666666666666,28.966666666666665,09/17/2017,17,21,-25,OaklandOak,145,230,47,53,20,45,Loss,126,180,4,0,0,NY JetsNYJ,65,271,410,2
51,0.6666666666666666,0.5833333333333334,31.033333333333335,09/17/2017,21,17,25,NY JetsNYJ,230,145,79,55,45,20,Win,180,126,0,4,2,OaklandOak,65,410,271,0
52,0.21428571428571427,0.6,26.166666666666668,09/17/2017,16,26,-25,DenverDen,228,202,69,66,17,42,Loss,40,178,2,2,2,DallasDal,59,268,380,2
53,0.6,0.21428571428571427,33.833333333333336,09/17/2017,26,16,25,DallasDal,202,228,61,73,42,17,Win,178,40,2,2,2,DenverDen,59,380,268,2
54,0.38461538461538464,0.4166666666666667,36.31666666666667,09/17/2017,21,14,7,LA RamsLA,156,235,25,68,27,20,Win,229,97,2,2,2,WashingtonWas,47,385,332,0
55,0.4166666666666667,0.38461538461538464,23.683333333333334,09/17/2017,14,21,-7,WashingtonWas,235,156,75,49,20,27,Loss,97,229,2,2,0,LA RamsLA,47,332,385,2
56,0.16666666666666666,0.42105263157894735,23.033333333333335,09/17/2017,11,21,-3,SeattleSea,89,181,66,48,9,12,Loss,159,131,2,3,0,San FranciscoSF,21,248,312,1
57,0.42105263157894735,0.16666666666666666,36.96666666666667,09/17/2017,21,11,3,San FranciscoSF,181,89,71,79,12,9,Win,131,159,3,2,1,SeattleSea,21,312,248,0
58,0.4166666666666667,0.45454545454545453,31.383333333333333,09/17/2017,24,19,-11,AtlantaAtl,308,223,70,68,23,34,Loss,59,141,3,3,0,Green BayGB,57,367,364,2
