ha,team,third_per,third_per_allowed,TOP,first_downs,first_downs_allowed,margin,pass_yards,pass_yards_allowed,penalty_yards,plays,points,points_allowed,rush_yards,rush_yards_allowed,sacked,sacks,takeaways,total_points,total_yards,total_yards_allowed,turnovers
home,DET,0.35052447575,0.40989964900000003,28.09583333375,18.625,22.0,5.125,265.625,266.75,65.0,59.125,27.0,21.875,71.625,97.75,3.0,2.25,2.25,48.875,337.25,364.5,0.875
home,GBP,0.388256361875,0.39902129112499996,28.491666666249998,18.25,19.5,-2.875,180.0,215.375,51.375,60.625,11.875,14.75,110.625,107.875,3.125,2.75,1.375,26.625,290.625,323.25,1.375
home,HOU,0.36263736275,0.328456439375,29.681250001250003,20.75,18.375,-0.625,192.0,216.625,61.75,64.625,24.75,25.375,128.375,106.0,3.625,1.75,1.5,50.125,320.375,322.625,1.625
home,IND,0.437501795625,0.415323218625,30.85833333375,17.125,20.375,-4.25,185.0,249.25,61.75,63.125,12.75,17.0,99.875,115.5,4.25,1.625,1.375,29.75,284.875,364.75,0.625
home,JAX,0.36918328599999994,0.28460027633333335,33.111111109999996,21.22222222222222,14.666666666666666,10.666666666666666,244.0,151.66666666666666,61.77777777777778,67.88888888888889,24.22222222222222,13.555555555555555,140.33333333333334,118.88888888888889,1.5555555555555556,2.2222222222222223,1.6666666666666667,37.77777777777778,384.3333333333333,270.55555555555554,0.8888888888888888
home,KCC,0.3669016171111111,0.3735332206666666,31.159259258888888,19.11111111111111,19.77777777777778,6.333333333333333,235.22222222222223,222.55555555555554,52.22222222222222,61.333333333333336,23.77777777777778,17.444444444444443,105.88888888888889,124.66666666666667,2.6666666666666665,2.111111111111111,2.2222222222222223,41.22222222222222,341.1111111111111,347.22222222222223,0.4444444444444444
home,LAC,0.41955128199999997,0.363519293375,30.691666665000007,22.625,16.625,9.875,295.625,194.75,52.125,63.875,25.625,15.75,101.875,126.875,1.625,2.625,1.75,41.375,397.5,321.625,0.625
home,LAR,0.39520328588888887,0.3225155018888889,29.651851852222226,19.555555555555557,17.88888888888889,5.222222222222222,256.3333333333333,208.77777777777777,64.88888888888889,63.666666666666664,25.444444444444443,20.22222222222222,108.33333333333333,115.0,2.3333333333333335,2.5555555555555554,1.6666666666666667,45.666666666666664,364.6666666666667,323.77777777777777,1.7777777777777777
home,MIA,0.332268773125,0.279589161,30.493750000000002,18.25,17.75,0.375,238.875,212.375,93.875,61.625,21.125,20.75,92.25,79.75,1.875,2.625,1.375,41.875,331.125,292.125,1.875
home,MIN,0.45416696588888894,0.2251746983333333,33.242592594444446,21.555555555555557,16.22222222222222,11.444444444444445,258.22222222222223,202.88888888888889,57.333333333333336,65.88888888888889,25.22222222222222,13.777777777777779,128.77777777777777,57.77777777777778,1.0,2.888888888888889,1.2222222222222223,39.0,387.0,260.6666666666667,0.8888888888888888
home,NEP,0.4401777415454546,0.36289422109090913,31.025757575454545,25.90909090909091,20.181818181818183,7.7272727272727275,290.1818181818182,255.9090909090909,45.90909090909091,70.72727272727273,29.727272727272727,22.0,119.81818181818181,113.45454545454545,2.272727272727273,3.3636363636363638,0.9090909090909091,51.72727272727273,410.0,369.3636363636364,0.5454545454545454
home,NOS,0.30830959155555554,0.37437573311111116,30.407407406666664,20.444444444444443,19.555555555555557,7.333333333333333,286.8888888888889,243.0,63.55555555555556,62.22222222222222,26.77777777777778,19.444444444444443,121.33333333333333,110.55555555555556,1.1111111111111112,3.0,1.3333333333333333,46.22222222222222,408.22222222222223,353.55555555555554,1.5555555555555556
home,NYG,0.34308226500000005,0.397979798125,29.28125,18.5,19.0,-10.5,214.125,242.375,50.75,67.75,14.5,25.0,115.0,119.125,2.0,1.125,1.125,39.5,329.125,361.5,1.5
home,NYJ,0.39667232275000003,0.31790293025,33.425,19.625,19.125,1.25,233.25,235.5,61.375,66.75,20.75,19.5,141.625,109.0,2.625,2.125,1.25,40.25,374.875,344.5,1.375
home,OAK,0.48910256425,0.43244047612500003,30.24166666625,20.25,18.5,-0.25,235.125,232.125,65.125,62.0,22.375,22.625,117.375,97.375,1.0,2.125,1.0,45.0,352.5,329.5,1.0
home,PHI,0.40369006,0.29139194150000003,32.47833333300001,20.7,16.2,15.8,223.1,214.7,54.6,64.7,28.2,12.4,128.1,71.2,2.0,2.1,1.9,40.6,351.2,285.9,1.4
home,PIT,0.42857096611111106,0.4137381137777778,32.80185185222222,24.11111111111111,17.555555555555557,4.0,318.77777777777777,206.33333333333334,47.111111111111114,70.77777777777777,29.77777777777778,25.77777777777778,102.11111111111111,113.33333333333333,2.0,2.888888888888889,1.3333333333333333,55.55555555555556,420.8888888888889,319.6666666666667,1.4444444444444444
home,SEA,0.393405388625,0.363312729125,29.97916666625,19.5,19.125,0.625,237.25,194.5,85.75,64.375,24.875,24.25,115.25,124.625,3.125,2.875,1.5,49.125,352.5,319.125,1.125
home,SFO,0.45526639425,0.4881706835,28.497916665,20.5,23.375,-6.25,251.5,250.75,57.5,65.625,21.875,28.125,97.75,132.5,3.125,0.625,1.5,50.0,349.25,383.25,1.625
home,TBB,0.430017725375,0.44113190725,29.54583333375,22.375,19.75,1.375,264.0,257.625,45.125,66.375,19.875,18.5,102.5,90.75,2.0,1.625,1.625,38.375,366.5,348.375,1.75
home,TEN,0.35983651787500004,0.3378968255,31.783333331250006,19.625,20.0,3.625,217.25,264.0,45.625,64.0,24.25,20.625,140.0,80.125,1.875,1.75,1.375,44.875,357.25,344.125,0.875
home,WAS,0.33332778350000003,0.324460047125,30.79791666625,18.625,16.25,1.875,264.625,186.0,44.25,63.625,23.25,21.375,80.5,103.75,2.25,3.0,1.875,44.625,345.125,289.75,2.0
